admin1,MMWRyear,MMWRweek,,
Nord-Kivu,2013,45,,
Nord-Kivu,2013,44,,
Nord-Kivu,2013,43,,
Nord-Kivu,2013,42,,
Nord-Kivu,2013,41,,
Nord-Kivu,2013,40,,
Nord-Kivu,2013,39,,
Nord-Kivu,2013,38,,
Nord-Kivu,2013,37,,
Nord-Kivu,2013,36,,
Nord-Kivu,2013,35,,
Nord-Kivu,2013,34,,
Nord-Kivu,2013,33,,
Nord-Kivu,2013,32,,
Nord-Kivu,2013,31,,
Nord-Kivu,2013,30,,
Nord-Kivu,2013,29,,
Nord-Kivu,2013,28,,
Nord-Kivu,2013,27,,
Nord-Kivu,2013,26,,
Nord-Kivu,2013,25,,
Nord-Kivu,2013,24,,
Nord-Kivu,2013,23,,
Nord-Kivu,2013,22,,
Nord-Kivu,2013,21,,
Nord-Kivu,2013,20,,
Nord-Kivu,2013,19,,
Nord-Kivu,2013,18,,
Nord-Kivu,2013,17,,
Nord-Kivu,2013,16,,
Nord-Kivu,2013,15,,
Nord-Kivu,2013,14,,
Nord-Kivu,2013,13,,
Nord-Kivu,2013,12,,
Nord-Kivu,2013,11,,
Nord-Kivu,2013,10,,
Nord-Kivu,2013,9,,
Nord-Kivu,2013,8,,
Nord-Kivu,2013,7,,
Nord-Kivu,2013,6,,
Nord-Kivu,2013,5,,
Nord-Kivu,2013,4,,
Nord-Kivu,2013,3,,
Nord-Kivu,2013,2,,
Nord-Kivu,2013,1,,
Nord-Kivu,2015,52,,
Nord-Kivu,2015,51,,
Nord-Kivu,2015,50,,
Nord-Kivu,2015,49,,
Nord-Kivu,2015,48,,
Nord-Kivu,2015,47,,
Nord-Kivu,2015,46,,
Nord-Kivu,2015,45,,
Nord-Kivu,2015,44,,
Nord-Kivu,2015,43,,
Nord-Kivu,2015,42,,
Nord-Kivu,2015,41,,
Nord-Kivu,2015,40,,
