lctn_pr,admin0,admin1,admin2,start_date,end_date,year,month,day,ipcc_region,ipcc_code,lon,lat
14605,COD,orientale,angumuhealthdistrict,2012-03-12,2012-10-14,2012,3,12,S.Eastern-Africa,SEAF,31.0612569254181,1.95928265452231
14605,COD,orientale,angumuhealthdistrict,2013-08-12,2013-12-15,2013,8,12,S.Eastern-Africa,SEAF,31.0612569254181,1.95928265452231
14612,COD,orientale,bogahealthdistrict,2012-09-10,2012-11-25,2012,9,10,S.Eastern-Africa,SEAF,29.9971761371751,0.981847509220906
14899,COD,orientale,bondohealthdistrict,2012-01-23,2012-07-29,2012,1,23,Central-Africa,CAF,23.501308351838,4.169239
14618,COD,orientale,isangihealthdistrict,2012-03-26,2012-05-27,2012,3,26,Central-Africa,CAF,24.3996247796932,0.894737503258882
14908,COD,orientale,likatihealthdistrict,2012-05-28,2012-07-15,2012,5,28,Central-Africa,CAF,23.7537752035773,3.32021415173088
14623,COD,orientale,lingahealthdistrict,2012-05-28,2012-10-28,2012,5,28,S.Eastern-Africa,SEAF,30.8266844635177,1.91054356587554
14624,COD,orientale,litahealthdistrict,2012-05-07,2012-09-16,2012,5,7,S.Eastern-Africa,SEAF,30.3732532984275,1.58184788033066
14625,COD,orientale,logohealthdistrict,2012-05-07,2012-07-22,2012,5,7,S.Eastern-Africa,SEAF,30.9186775765395,2.17107043831329
14910,COD,orientale,lowahealthdistrict,2011-02-28,2011-05-22,2011,2,28,Central-Africa,CAF,25.592646347186,-1.2696834252777
14910,COD,orientale,lowahealthdistrict,2012-04-02,2012-07-01,2012,4,2,Central-Africa,CAF,25.592646347186,-1.2696834252777
14626,COD,orientale,lubungahealthdistrict,2011-02-21,2011-05-22,2011,2,21,Central-Africa,CAF,23.4304493141444,-5.509298
14626,COD,orientale,lubungahealthdistrict,2012-04-02,2012-07-22,2012,4,2,Central-Africa,CAF,23.4304493141444,-5.509298
14986,COD,orientale,makisokisanganihealthdistrict,2012-07-02,2012-08-12,2012,7,2,Central-Africa,CAF,25.2297210467463,0.520134234967637
14628,COD,orientale,mangobohealthdistrict,2011-02-28,2011-06-05,2011,2,28,Central-Africa,CAF,25.0975130157928,0.603867321456676
14631,COD,orientale,nizihealthdistrict,2012-03-05,2012-06-24,2012,3,5,S.Eastern-Africa,SEAF,30.3238061356381,1.78030364137578
14633,COD,orientale,nyarambehealthdistrict,2012-05-07,2012-11-11,2012,5,7,S.Eastern-Africa,SEAF,31.154728102378,2.15311879407578
